Gmt time,Open,High,Low,Close,Volume
03.01.2016 22:00:00.000,120.188,120.319,120.183,120.283,1766420.0439
03.01.2016 23:00:00.000,120.286,120.385,120.232,120.316,2787850.0977
04.01.2016 00:00:00.000,120.315,120.390,120.269,120.371,4205490.2344
04.01.2016 01:00:00.000,120.370,120.464,120.009,120.028,6674790.0391
04.01.2016 02:00:00.000,120.027,120.043,119.646,119.817,8200750
04.01.2016 03:00:00.000,119.817,119.817,119.648,119.685,4410600.0977
04.01.2016 04:00:00.000,119.685,119.731,119.472,119.536,5970049.8047
04.01.2016 05:00:00.000,119.538,119.571,119.239,119.379,6373790.0391
04.01.2016 06:00:00.000,119.379,119.472,119.307,119.419,4602649.9023
04.01.2016 07:00:00.000,119.423,119.430,118.906,118.975,8557820.3125
04.01.2016 08:00:00.000,118.976,119.161,118.703,119.015,10999349.6094
04.01.2016 09:00:00.000,119.012,119.092,118.867,118.873,6956890.1367
04.01.2016 10:00:00.000,118.874,119.069,118.849,118.999,6303259.7656
04.01.2016 11:00:00.000,118.999,119.002,118.717,118.794,6077899.9023
04.01.2016 12:00:00.000,118.794,119.110,118.763,119.068,6152240.2344
04.01.2016 13:00:00.000,119.067,119.360,119.041,119.259,7400319.8242
04.01.2016 14:00:00.000,119.259,119.273,119.040,119.080,8464940.4297
04.01.2016 15:00:00.000,119.079,119.358,119.006,119.296,10313969.7266
04.01.2016 16:00:00.000,119.300,119.414,119.186,119.309,8248419.9219
04.01.2016 17:00:00.000,119.311,119.435,119.281,119.410,5176509.7656
04.01.2016 18:00:00.000,119.409,119.500,119.359,119.360,4702759.7656
04.01.2016 19:00:00.000,119.361,119.406,119.291,119.297,4113140.1367
04.01.2016 20:00:00.000,119.302,119.473,119.282,119.424,5170419.9219
04.01.2016 21:00:00.000,119.425,119.475,119.377,119.434,1588209.9609
04.01.2016 22:00:00.000,119.437,119.450,119.310,119.310,3512649.9023
04.01.2016 23:00:00.000,119.311,119.470,119.286,119.469,2515899.9023
05.01.2016 00:00:00.000,119.475,119.526,119.183,119.226,5860419.9219
05.01.2016 01:00:00.000,119.225,119.605,119.097,119.565,8221769.5313
05.01.2016 02:00:00.000,119.582,119.636,119.478,119.626,4918049.8047
05.01.2016 03:00:00.000,119.626,119.694,119.520,119.522,3792350.0977
05.01.2016 04:00:00.000,119.523,119.561,119.408,119.541,4351669.9219
05.01.2016 05:00:00.000,119.542,119.566,119.340,119.421,5779100.0977
05.01.2016 06:00:00.000,119.420,119.483,119.302,119.459,5037959.9609
05.01.2016 07:00:00.000,119.460,119.579,119.384,119.423,6432450.1953
05.01.2016 08:00:00.000,119.426,119.441,119.161,119.171,9966309.5703
05.01.2016 09:00:00.000,119.171,119.171,118.960,119.051,9306500
05.01.2016 10:00:00.000,119.051,119.134,118.829,119.117,10153290.0391
05.01.2016 11:00:00.000,119.116,119.165,118.899,118.952,6797879.8828
